epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-16,Brazil,AC,TOTAL,1,932,135,53590,932,53590,105.67672,6076.41153,0.01739,45648,10186,148107,16793.41448,12934,1.46655,215,0.02438,,
107,2021-02-16,Brazil,AL,TOTAL,10,2883,632,125676,2883,125676,86.38572,3765.73438,0.02294,120109,7734,299014,8959.60486,76743,2.29951,2822,0.08456,,
107,2021-02-16,Brazil,AM,TOTAL,108,10100,1808,297687,10100,297687,243.69076,7182.53186,0.03393,250178,1279,717911,17321.61173,202828,4.89379,11706,0.28244,,
107,2021-02-16,Brazil,AP,TOTAL,6,1112,277,80940,1112,80940,131.48389,9570.41896,0.01374,59340,1595,138551,16382.39582,16923,2.00099,296,0.03500,,
107,2021-02-16,Brazil,BA,TOTAL,66,10864,3849,635494,10864,635494,73.04480,4272.78468,0.01710,605744,144935,1978117,13299.99656,378843,2.54718,855,0.00575,,
107,2021-02-16,Brazil,CE,TOTAL,32,10868,12060,408555,10850,397442,119.00906,4473.84484,0.02660,308294,37544,1373571,15041.16588,234497,2.56784,15952,0.17468,,
107,2021-02-16,Brazil,DF,TOTAL,11,4708,561,286137,4708,286137,156.13869,9489.60424,0.01645,276503,47,782118,25938.58987,111028,3.68219,9895,0.32816,,
107,2021-02-16,Brazil,ES,TOTAL,12,6176,407,311685,6176,311647,153.68345,7755.96282,0.01981,293955,193075,936145,23295.01201,101331,2.52152,75,0.00187,,
107,2021-02-16,Brazil,GO,TOTAL,35,8062,965,374495,8043,373703,114.87024,5335.93774,0.02153,359927,317051,782818,11153.86884,177763,2.53283,3582,0.05104,,
107,2021-02-16,Brazil,MA,TOTAL,11,4871,391,213478,4871,213478,68.84630,3017.27970,0.02282,199570,1563,521011,7363.92468,124536,1.76018,10580,0.14954,,
